"","YHOO","GOOG","MSFT"
"712","42.86","759.61","56.38"
"713","43.48","762.6","56.335"
"714","43.45","763.76","56.21"
"715","43.29","763.36","56.19"
"716","43.24","763.315","56.12"
"717","43.16","763.685","56.08"
"718","43.26","763.5301","56.1301"
"719","43.37","763.02","56.1707"
"720","43.515","763.76","56.24"
"721","43.575","764.6002","56.245"
"722","43.51","764.56","56.275"
"723","43.53","766.05","56.39"
"724","43.48","765.85","56.45"
"725","43.55","767.2958","56.58"
"726","43.425","765.5","56.565"
"727","43.36","765.08","56.575"
"728","43.38","765.395","56.5146"
"729","43.31","765.295","56.53"
"730","43.33","764.965","56.49"
"731","43.385","764.6324","56.51"
"732","43.35","763.24","56.331"
"733","43.37","764.6","56.45"
"734","43.37","764.455","56.45"
"735","43.42","765.33","56.49"
"736","43.49","764.755","56.46"
"737","43.35","763.81","56.4"
"738","43.39","763.78","56.39"
"739","43.39","764.01","56.41"
"740","43.385","764.46","56.42"
"741","43.425","764.8043","56.44"
"742","43.48","764.91","56.52"
"743","43.42","765.28","56.5529"
"744","43.43","764.86","56.5381"
"745","43.45","764.98","56.57"
"746","43.51","765.45","56.62"
"747","43.46","764.84","56.57"
"748","43.475","765.0606","56.585"
"749","43.53","765.09","56.5647"
"750","43.46","764.13","56.53"
"751","43.43","764.16","56.475"
"752","43.425","764.25","56.4599"
"753","43.38","764","56.415"
"754","43.39","763.5","56.485"
"755","43.38","764.032","56.49"
"756","43.43","764.12","56.472"
"757","43.39","763.76","56.425"
"758","43.42","763.4958","56.41"
"759","43.46","763.74","56.46"
"760","43.46","764","56.4799"
"761","43.47","764.29","56.49"
"762","43.48","763.95","56.405"
"763","43.4801","764.6","56.415"
"764","43.42","763.53","56.31"
"765","43.47","764.29","56.33"
"766","43.44","764.02","56.28"
"767","43.45","763.71","56.27"
"768","43.35","763","56.21"
"769","43.32","761.98","56.15"
"770","43.425","763.74","56.24"
"771","43.46","764.27","56.26"
"772","43.42","763.99","56.26"
"773","43.43","763.62","56.27"
"774","43.405","763.24","56.25"
"775","43.46","763.56","56.34"
"776","43.42","763","56.28"
"777","43.435","763","56.28"
"778","43.49","763.89","56.34"
"779","43.43","762.71","56.29"
"780","43.345","763","56.279"
"781","43.29","762.49","56.2"
"782","43.28","761.78","56.17"
"783","43.26","761.3925","56.095"
"784","43.28","760.9","56.05"
"785","43.32","762.33","56.1201"
"786","43.3","761.9","56.17"
"787","43.37","763.39","56.26"
"788","43.41","763.3","56.31"
"789","43.44","762.675","56.28"
"790","43.46","762.49","56.26"
"791","43.41","763","56.15"
"792","43.62","762.7875","56.25"
"793","43.54","762.62","56.27"
"794","43.47","762.01","56.23"
"795","43.51","763.46","56.19"
"796","43.56","764.01","56.24"
"797","43.625","763.41","56.21"
"798","43.59","763.15","56.26"
"799","43.56","762.7","56.3399"
"800","43.6","764.2","56.505"
"801","43.6","765.88","56.58"
"802","43.51","765.5","56.48"
"803","43.47","766.01","56.63"
"804","43.52","766.19","56.625"
"805","43.59","766.19","56.67"
"806","43.48","765.96","56.4636"
"807","43.58","766.83","56.58"
"808","43.62","767.78","56.74"
